CD4Tconv	Fibroblasts	Mono/Macro	Malignant	Plasma	Pericytes	CD8Tex	DC	Tprolif	B	Mast	Endothelial	Treg
IL7R	1.67	-0.34	0.33	-1.31	-1.3	-1.28	-0.65	0.57	-0.56	-1.27	-1.14	-1.25	0.92
SARAF	1.21	-0.87	-0.72	-1.08	-1.19	-0.67	0.46	-0.46	0	-0.82	0	-1	0.64
CCR7	1.2	-0.87	-0.36	-0.83	-0.8	-0.82	-0.69	1.76	0	-0.44	-0.7	-0.82	0
CXCR4	1.18	-1.86	-0.68	-1.8	-1.39	-1.77	0.52	0	0.27	1.17	-1.36	-1.69	0
LTB	1.17	-1.25	-0.99	-1.19	-1.19	-1.19	-0.58	0.56	-0.45	1.05	-1.06	-1.17	1.46
SPOCK2	1.15	-1.07	-1.03	-1.02	-1.01	-1.01	0.41	-0.77	0.4	-0.96	-0.94	-0.98	1.45
CD3E	1.06	-1.66	-1.61	-1.58	-1.6	-1.61	0.8	-1.16	0.81	-1.57	-1.48	-1.58	1.2
LEPROTL1	1.04	-0.55	-0.5	-0.68	-0.87	-0.43	0.55	-0.6	0	-0.82	0	-0.51	0.54
FYB	1.02	-1.06	0.46	-0.89	-1.01	-1.01	0.48	0	0.5	-0.99	-0.58	-0.96	0.72
BTG1	1.01	-1.74	-1.04	-0.91	-2.18	-1.13	0.54	-0.39	0	0.37	-0.52	-1.28	0.77
PTPRC	1	-1.6	0	-1.55	-1.42	-1.54	0.45	0	0.55	0.44	0	-1.53	0.78
TRBV20-1	0.99	0	0	0	0	0	0.53	0	0	0	0	0	1.16
CD2	0.99	-1.2	-1.14	-1.15	-1.14	-1.14	0.75	-0.84	0.77	-1.12	-1.08	-1.13	1.13
CREM	0.99	-1.52	0	-1.5	-1.49	-1.15	0.39	0	0	0.34	0	-1.26	0.79
ARHGDIB	0.94	-1.98	-0.43	-1.73	-1.42	-0.39	0.75	0	0.68	0.62	0.62	0	0.91
