X.Start	End	Type	Subtype	Weight
3	3640	2793	PPREL	BINDING_ASSOCIATION	0
4	3640	2782	PPREL	BINDING_ASSOCIATION	0
5	3640	2792	PPREL	BINDING_ASSOCIATION	0
6	3640	2791	PPREL	BINDING_ASSOCIATION	0
7	3640	2790	PPREL	BINDING_ASSOCIATION	0
9	3640	59350	PPREL	ACTIVATION	1
11	3640	2778	PPREL	BINDING_ASSOCIATION	0
13	3640	2788	PPREL	BINDING_ASSOCIATION	0
14	3640	2787	PPREL	BINDING_ASSOCIATION	0
15	3640	2786	PPREL	BINDING_ASSOCIATION	0
17	3640	2785	PPREL	BINDING_ASSOCIATION	0
18	3640	59345	PPREL	BINDING_ASSOCIATION	0
20	3640	2784	PPREL	BINDING_ASSOCIATION	0
21	3640	2783	PPREL	BINDING_ASSOCIATION	0
22	3640	51764	PPREL	BINDING_ASSOCIATION	0
26	286887	3880	PPREL	BINDING_ASSOCIATION	0
27	286887	3881	PPREL	BINDING_ASSOCIATION	0
28	286887	3860	PPREL	BINDING_ASSOCIATION	0
29	286887	3882	PPREL	BINDING_ASSOCIATION	0
32	286887	25984	PPREL	BINDING_ASSOCIATION	0
33	286887	3858	PPREL	BINDING_ASSOCIATION	0
35	286887	3859	PPREL	BINDING_ASSOCIATION	0
37	286887	3872	PPREL	BINDING_ASSOCIATION	0
38	286887	3875	PPREL	BINDING_ASSOCIATION	0
39	286887	3857	PPREL	BINDING_ASSOCIATION	0
45	286887	100653049	PPREL	BINDING_ASSOCIATION	0
46	286887	3883	PPREL	BINDING_ASSOCIATION	0
47	286887	3861	PPREL	BINDING_ASSOCIATION	0
48	286887	3884	PPREL	BINDING_ASSOCIATION	0
50	286887	3886	PPREL	BINDING_ASSOCIATION	0
51	286887	3866	PPREL	BINDING_ASSOCIATION	0
52	286887	3868	PPREL	BINDING_ASSOCIATION	0
62	2305	1063	PPREL	ACTIVATION	1
63	2305	286826	PPREL	BINDING_ASSOCIATION	0
64	2305	891	PPREL	ACTIVATION	1
82	284217	3680	PPREL	ACTIVATION	1
86	284217	3913	PPREL	BINDING_ASSOCIATION	0
87	284217	1756	PPREL	BINDING_ASSOCIATION	0
89	284217	3915	PPREL	BINDING_ASSOCIATION	0
91	284217	3674	PPREL	ACTIVATION	1
92	284217	3696	PPREL	ACTIVATION	1
93	284217	3675	PPREL	ACTIVATION	1
94	284217	3676	PPREL	ACTIVATION	1
95	284217	3897	PPREL	BINDING_ASSOCIATION	0
96	284217	3655	PPREL	ACTIVATION	1
97	284217	3678	PPREL	ACTIVATION	1
98	284217	3679	PPREL	ACTIVATION	1
99	284217	3912	PPREL	BINDING_ASSOCIATION	0
102	284217	3690	PPREL	ACTIVATION	1
103	284217	3691	PPREL	ACTIVATION	1
104	284217	3693	PPREL	ACTIVATION	1
106	284217	3672	PPREL	ACTIVATION	1
107	284217	3694	PPREL	ACTIVATION	1
108	284217	3673	PPREL	ACTIVATION	1
109	284217	3695	PPREL	ACTIVATION	1
110	284217	59277	PPREL	BINDING_ASSOCIATION	0
112	284217	3685	PPREL	ACTIVATION	1
114	284217	375790	PPREL	BINDING_ASSOCIATION	0
116	284217	3688	PPREL	ACTIVATION	1
118	284217	4811	PPREL	BINDING_ASSOCIATION	0
121	284217	1605	PPREL	ACTIVATION	1
122	3630	26958	PPREL	BINDING_ASSOCIATION	0
124	3630	3484	PPREL	INDIRECT_EFFECT	1
125	3630	3480	PPREL	ACTIVATION	1
128	3630	2309	PPREL	INHIBITION	-1
129	3630	2308	PPREL	INHIBITION	-1
130	3630	11070	PPREL	BINDING_ASSOCIATION	0
141	3630	3643	PPREL	ACTIVATION	1
142	3630	10540	PPREL	BINDING_ASSOCIATION	0
143	3630	3645	PPREL	ACTIVATION	1
148	3630	23423	PPREL	BINDING_ASSOCIATION	0
150	3630	3815	PPREL	ACTIVATION	1
156	3630	2324	PPREL	ACTIVATION	1
160	3630	2322	PPREL	ACTIVATION	1
161	3630	2321	PPREL	ACTIVATION	1
