Id	Name	Type	Aliases
3640	INSL3	GENE	hsa:3640,insulin like 3,ENSG00000248099
286887	KRT6C	GENE	
8646	CHRD	GENE	hsa:8646,chordin,ENSG00000090539
4681	NBL1	GENE	hsa:4681,NBL1, DAN family BMP antagonist,ENSG00000158747
9241	NOG	GENE	hsa:9241,noggin,ENSG00000183691
26585	GREM1	GENE	hsa:26585,gremlin 1, DAN family BMP antagonist,ENSG00000166923,ENSG00000276886,ENSG00000282046
4969	OGN	GENE	
3638	INSIG1	GENE	
2305	FOXM1	GENE	hsa:2305,forkhead box M1,ENSG00000111206
284217	LAMA1	GENE	hsa:284217,laminin subunit alpha 1,ENSG00000101680
3630	INS	GENE	hsa:3630,insulin,ENSG00000254647
3631	INPP4A	GENE	hsa:3631,inositol polyphosphate-4-phosphatase type I A,ENSG00000040933
3632	INPP5A	GENE	hsa:3632,inositol polyphosphate-5-phosphatase A,ENSG00000068383
3633	INPP5B	GENE	hsa:3633,inositol polyphosphate-5-phosphatase B,ENSG00000204084
2309	FOXO3	GENE	hsa:2309,forkhead box O3,ENSG00000118689
3635	INPP5D	GENE	hsa:3635,inositol polyphosphate-5-phosphatase D,ENSG00000168918,ENSG00000281614
3636	INPPL1	GENE	hsa:3636,inositol polyphosphate phosphatase like 1,ENSG00000165458
2308	FOXO1	GENE	hsa:2308,forkhead box O1,ENSG00000150907
4967	OGDH	GENE	hsa:4967,oxoglutarate dehydrogenase,ENSG00000105953
4968	OGG1	GENE	
4982	TNFRSF11B	GENE	hsa:4982,TNF receptor superfamily member 11b,ENSG00000164761
3651	PDX1	GENE	hsa:3651,pancreatic and duodenal homeobox 1,ENSG00000139515
hsa-miR-519d-3p	hsa-miR-519d-3p	MIRNA	
2317	FLNB	GENE	hsa:2317,filamin B,ENSG00000136068
2316	FLNA	GENE	hsa:2316,filamin A,ENSG00000196924
2	A2M	GENE	hsa:2,alpha-2-macroglobulin,ENSG00000175899
2313	FLI1	GENE	
2312	FLG	GENE	
9	NAT1	GENE	hsa:9,N-acetyltransferase 1,ENSG00000171428
3642	INSM1	GENE	
4973	OLR1	GENE	hsa:4973,oxidized low density lipoprotein receptor 1,ENSG00000173391
3643	INSR	GENE	hsa:3643,insulin receptor,ENSG00000171105
4974	OMG	GENE	
3645	INSRR	GENE	hsa:3645,insulin receptor related receptor,ENSG00000027644
4976	OPA1	GENE	hsa:4976,OPA1 mitochondrial dynamin like GTPase,ENSG00000198836
3646	EIF3E	GENE	hsa:3646,eukaryotic translation initiation factor 3 subunit E,ENSG00000104408
2319	FLOT2	GENE	hsa:2319,flotillin 2,ENSG00000132589
4978	OPCML	GENE	
2318	FLNC	GENE	hsa:2318,filamin C,ENSG00000128591
hsa-miR-101-5p	hsa-miR-101-5p	MIRNA	
4991	OR1D2	GENE	hsa:4991,olfactory receptor family 1 subfamily D member 2,ENSG00000184166
3660	IRF2	GENE	
hsa-miR-342-5p	hsa-miR-342-5p	MIRNA	
3661	IRF3	GENE	hsa:3661,interferon regulatory factor 3,ENSG00000126456
4992	OR1F1	GENE	hsa:4992,olfactory receptor family 1 subfamily F member 1,ENSG00000168124,ENSG00000262668
