CD4Tconv	Fibroblasts	Malignant	DC
IL7R	1.67	-0.34	-1.31	0.57
SARAF	1.21	-0.87	-1.08	-0.46
CCR7	1.2	-0.87	-0.83	1.76
CXCR4	1.18	-1.86	-1.8	0
LTB	1.17	-1.25	-1.19	0.56
SPOCK2	1.15	-1.07	-1.02	-0.77
CD3E	1.06	-1.66	-1.58	-1.16
LEPROTL1	1.04	-0.55	-0.68	-0.6
FYB	1.02	-1.06	-0.89	0
BTG1	1.01	-1.74	-0.91	-0.39
PTPRC	1	-1.6	-1.55	0
TRBV20-1	0.99	0	0	0
CD2	0.99	-1.2	-1.15	-0.84
CREM	0.99	-1.52	-1.5	0
ARHGDIB	0.94	-1.98	-1.73	0
RGCC	0.91	-0.4	-1.2	0
ICOS	0.9	-0.86	-0.82	-0.67
TSC22D3	0.9	-1.18	-1.41	-0.78
BATF	0.89	-1.16	-1.06	-0.65
SRGN	0.88	-2.66	-2.61	0.93
IL32	0.87	-2.31	-1.95	-1.26
CD3D	0.87	-1.38	-1.34	-1.08
GZMK	0.86	0	0	0
CD6	0.85	-0.5	-0.47	-0.38
FXYD5	0.85	-0.59	-0.83	0
SELL	0.85	-0.53	-0.5	0
YPEL5	0.84	-0.76	-0.53	0
CD28	0.83	-0.37	-0.35	-0.27
TRBC2	0.82	-0.91	-0.88	-0.71
KLRB1	0.81	-0.59	-0.57	-0.44
RPS27	0.81	-0.73	-0.68	0
CD5	0.8	-0.41	-0.37	0
TNFRSF4	0.8	-1.08	-1.04	-0.48
ZFP36L2	0.8	-1.1	-0.67	-1.11
PBXIP1	0.79	-0.34	-0.44	-0.38
DUSP2	0.79	-1.79	-1.24	0.37
PTPRCAP	0.78	-1.69	-1.64	-1.18
GIMAP7	0.78	-0.54	-0.52	-0.41
PDCD4	0.77	-0.62	-0.32	-0.47
NR3C1	0.76	-0.66	-0.81	-0.29
CYTIP	0.75	-1.49	-1.45	0
EML4	0.74	-0.53	-0.32	-0.28
LCK	0.74	-0.87	-0.82	-0.69
FYN	0.74	-0.48	-0.71	-0.46
TRAT1	0.73	-0.34	-0.32	-0.29
RHOH	0.73	-1	-0.97	-0.45
RORA	0.73	-0.3	-0.29	-0.5
IL2RG	0.72	-1.3	-1.17	0
CRIP1	0.72	-1.98	-1	0.64
SEPT6	0.71	-0.67	-0.74	0.3
LAT	0.71	-0.64	-0.6	-0.45
LINC-PINT	0.7	-0.7	-0.8	0
ZNF331	0.69	-1.07	-1.12	0
PBX4	0.69	-0.4	-0.36	-0.28
GMFG	0.69	-0.94	-0.95	0
PIK3IP1	0.69	-0.41	-0.26	-0.45
CCR6	0.69	-0.35	-0.33	0
ISG20	0.69	-0.95	-0.58	0
TUBA4A	0.68	-1.01	-0.27	-0.71
EZR	0.68	-1.5	-0.74	0
FAAH2	0.68	0	0	0
RPS29	0.68	-0.76	-0.41	0
RNF19A	0.68	-0.54	-0.44	-0.48
ARID5A	0.67	-0.52	-0.64	0
ITK	0.67	-0.42	-0.4	-0.33
STK4	0.67	-0.72	-0.64	0.49
CDKN1B	0.67	-0.64	-0.45	-0.27
TAGAP	0.67	-0.88	-0.84	0
RPL34	0.66	-0.3	-0.64	0
TRBC1	0.66	-0.64	-0.61	-0.53
CD7	0.66	-1.95	-1.91	-1.42
RAC2	0.66	-1.66	-1.43	-0.62
