Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD4Tconv	CD4Tconv	IL7R	1.67	79.8	0
0	Immune cells	CD4Tconv	CD4Tconv	SARAF	1.21	99.4	0
0	Immune cells	CD4Tconv	CD4Tconv	CCR7	1.2	49.9	0
0	Immune cells	CD4Tconv	CD4Tconv	CXCR4	1.18	88.2	0
0	Immune cells	CD4Tconv	CD4Tconv	LTB	1.17	72.5	0
0	Immune cells	CD4Tconv	CD4Tconv	SPOCK2	1.15	83.8	0
0	Immune cells	CD4Tconv	CD4Tconv	CD3E	1.06	97.3	0
0	Immune cells	CD4Tconv	CD4Tconv	LEPROTL1	1.04	82.0	0
0	Immune cells	CD4Tconv	CD4Tconv	FYB	1.02	81.8	0
0	Immune cells	CD4Tconv	CD4Tconv	BTG1	1.01	99.5	0
0	Immune cells	CD4Tconv	CD4Tconv	PTPRC	1.0	95.6	0
0	Immune cells	CD4Tconv	CD4Tconv	TRBV20-1	0.99	11.3	0
0	Immune cells	CD4Tconv	CD4Tconv	CD2	0.99	84.1	0
0	Immune cells	CD4Tconv	CD4Tconv	CREM	0.99	86.8	0
0	Immune cells	CD4Tconv	CD4Tconv	ARHGDIB	0.94	98.2	0
0	Immune cells	CD4Tconv	CD4Tconv	RGCC	0.91	77.5	0
0	Immune cells	CD4Tconv	CD4Tconv	ICOS	0.9	60.4	0
0	Immune cells	CD4Tconv	CD4Tconv	TSC22D3	0.9	92.1	0
0	Immune cells	CD4Tconv	CD4Tconv	BATF	0.89	58.3	0
0	Immune cells	CD4Tconv	CD4Tconv	SRGN	0.88	99.2	0
0	Immune cells	CD4Tconv	CD4Tconv	IL32	0.87	95.8	0
0	Immune cells	CD4Tconv	CD4Tconv	CD3D	0.87	89.4	0
0	Immune cells	CD4Tconv	CD4Tconv	GZMK	0.86	22.2	0
0	Immune cells	CD4Tconv	CD4Tconv	CD6	0.85	57.5	0
0	Immune cells	CD4Tconv	CD4Tconv	FXYD5	0.85	94.6	0
0	Immune cells	CD4Tconv	CD4Tconv	SELL	0.85	43.7	0
0	Immune cells	CD4Tconv	CD4Tconv	YPEL5	0.84	82.0	0
0	Immune cells	CD4Tconv	CD4Tconv	CD28	0.83	51.5	0
0	Immune cells	CD4Tconv	CD4Tconv	TRBC2	0.82	63.5	0
0	Immune cells	CD4Tconv	CD4Tconv	KLRB1	0.81	31.3	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS27	0.81	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	CD5	0.8	51.7	0
0	Immune cells	CD4Tconv	CD4Tconv	TNFRSF4	0.8	43.9	0
0	Immune cells	CD4Tconv	CD4Tconv	ZFP36L2	0.8	88.6	0
0	Immune cells	CD4Tconv	CD4Tconv	PBXIP1	0.79	60.0	0
0	Immune cells	CD4Tconv	CD4Tconv	DUSP2	0.79	77.5	0
0	Immune cells	CD4Tconv	CD4Tconv	PTPRCAP	0.78	93.3	0
0	Immune cells	CD4Tconv	CD4Tconv	GIMAP7	0.78	46.2	0
0	Immune cells	CD4Tconv	CD4Tconv	PDCD4	0.77	66.3	0
0	Immune cells	CD4Tconv	CD4Tconv	NR3C1	0.76	67.8	0
0	Immune cells	CD4Tconv	CD4Tconv	CYTIP	0.75	86.4	0
0	Immune cells	CD4Tconv	CD4Tconv	EML4	0.74	73.8	0
0	Immune cells	CD4Tconv	CD4Tconv	LCK	0.74	72.1	0
0	Immune cells	CD4Tconv	CD4Tconv	FYN	0.74	64.7	0
0	Immune cells	CD4Tconv	CD4Tconv	TRAT1	0.73	38.9	0
0	Immune cells	CD4Tconv	CD4Tconv	RHOH	0.73	72.2	0
0	Immune cells	CD4Tconv	CD4Tconv	RORA	0.73	55.0	0
0	Immune cells	CD4Tconv	CD4Tconv	IL2RG	0.72	84.7	0
0	Immune cells	CD4Tconv	CD4Tconv	CRIP1	0.72	91.3	0
0	Immune cells	CD4Tconv	CD4Tconv	SEPT6	0.71	67.9	0
0	Immune cells	CD4Tconv	CD4Tconv	LAT	0.71	58.0	0
0	Immune cells	CD4Tconv	CD4Tconv	LINC-PINT	0.7	66.9	0
0	Immune cells	CD4Tconv	CD4Tconv	ZNF331	0.69	62.6	0
0	Immune cells	CD4Tconv	CD4Tconv	PBX4	0.69	47.2	0
0	Immune cells	CD4Tconv	CD4Tconv	GMFG	0.69	76.5	0
0	Immune cells	CD4Tconv	CD4Tconv	PIK3IP1	0.69	54.7	0
0	Immune cells	CD4Tconv	CD4Tconv	CCR6	0.69	31.3	0
0	Immune cells	CD4Tconv	CD4Tconv	ISG20	0.69	83.0	0
0	Immune cells	CD4Tconv	CD4Tconv	TUBA4A	0.68	57.8	0
0	Immune cells	CD4Tconv	CD4Tconv	EZR	0.68	85.6	0
0	Immune cells	CD4Tconv	CD4Tconv	FAAH2	0.68	30.4	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS29	0.68	97.4	0
0	Immune cells	CD4Tconv	CD4Tconv	RNF19A	0.68	57.3	0
0	Immune cells	CD4Tconv	CD4Tconv	ARID5A	0.67	61.5	0
0	Immune cells	CD4Tconv	CD4Tconv	ITK	0.67	46.1	0
0	Immune cells	CD4Tconv	CD4Tconv	STK4	0.67	72.2	0
0	Immune cells	CD4Tconv	CD4Tconv	CDKN1B	0.67	67.8	0
0	Immune cells	CD4Tconv	CD4Tconv	TAGAP	0.67	57.8	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL34	0.66	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	TRBC1	0.66	40.1	0
0	Immune cells	CD4Tconv	CD4Tconv	CD7	0.66	84.3	0
0	Immune cells	CD4Tconv	CD4Tconv	RAC2	0.66	91.6	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS25	0.65	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	FCMR	0.65	46.8	0
0	Immune cells	CD4Tconv	CD4Tconv	SH2D1A	0.65	38.8	0
0	Immune cells	CD4Tconv	CD4Tconv	P2RY10	0.64	44.5	0
0	Immune cells	CD4Tconv	CD4Tconv	CD48	0.64	66.7	0
0	Immune cells	CD4Tconv	CD4Tconv	FAM177A1	0.63	66.5	0
0	Immune cells	CD4Tconv	CD4Tconv	PASK	0.63	23.0	0
0	Immune cells	CD4Tconv	CD4Tconv	GZMM	0.63	45.3	0
0	Immune cells	CD4Tconv	CD4Tconv	SKAP1	0.63	53.7	0
0	Immune cells	CD4Tconv	CD4Tconv	HSPA8	0.62	99.3	0
0	Immune cells	CD4Tconv	CD4Tconv	FOXP3	0.62	25.6	0
0	Immune cells	CD4Tconv	CD4Tconv	GPR183	0.62	62.1	0
0	Immune cells	CD4Tconv	CD4Tconv	CD52	0.62	87.4	0
0	Immune cells	CD4Tconv	CD4Tconv	TNFAIP3	0.62	86.4	0
0	Immune cells	CD4Tconv	CD4Tconv	TNIK	0.62	37.7	0
0	Immune cells	CD4Tconv	CD4Tconv	GNG2	0.62	68.7	0
0	Immune cells	CD4Tconv	CD4Tconv	CD247	0.62	59.1	0
0	Immune cells	CD4Tconv	CD4Tconv	CAMK4	0.61	42.3	0
0	Immune cells	CD4Tconv	CD4Tconv	ANKRD12	0.61	67.5	0
0	Immune cells	CD4Tconv	CD4Tconv	EVL	0.61	70.4	0
0	Immune cells	CD4Tconv	CD4Tconv	UCP2	0.61	66.1	0
0	Immune cells	CD4Tconv	CD4Tconv	IDS	0.61	68.7	0
0	Immune cells	CD4Tconv	CD4Tconv	TIGIT	0.61	46.0	0
0	Immune cells	CD4Tconv	CD4Tconv	PPP1R2	0.6	75.7	0
0	Immune cells	CD4Tconv	CD4Tconv	LIMD2	0.6	75.7	0
0	Immune cells	CD4Tconv	CD4Tconv	ZAP70	0.6	48.8	0
0	Immune cells	CD4Tconv	CD4Tconv	STK17B	0.6	76.2	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS15A	0.6	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	PPP2R5C	0.6	48.9	0
0	Immune cells	CD4Tconv	CD4Tconv	SH2D2A	0.6	65.3	0
0	Immune cells	CD4Tconv	CD4Tconv	CDC42SE2	0.6	55.7	0
0	Immune cells	CD4Tconv	CD4Tconv	ACAP1	0.6	61.2	0
0	Immune cells	CD4Tconv	CD4Tconv	SEPT1	0.6	59.3	0
0	Immune cells	CD4Tconv	CD4Tconv	BIRC3	0.59	68.2	0
0	Immune cells	CD4Tconv	CD4Tconv	WIPF1	0.59	69.6	0
0	Immune cells	CD4Tconv	CD4Tconv	CD69	0.59	59.2	0
0	Immune cells	CD4Tconv	CD4Tconv	CD3G	0.59	60.6	0
0	Immune cells	CD4Tconv	CD4Tconv	SLC2A3	0.58	75.1	0
0	Immune cells	CD4Tconv	CD4Tconv	PIK3R1	0.58	48.4	0
0	Immune cells	CD4Tconv	CD4Tconv	ELF1	0.58	72.8	0
0	Immune cells	CD4Tconv	CD4Tconv	CNOT6L	0.57	47.5	0
0	Immune cells	CD4Tconv	CD4Tconv	TC2N	0.57	31.5	0
0	Immune cells	CD4Tconv	CD4Tconv	IKZF1	0.57	45.2	0
0	Immune cells	CD4Tconv	CD4Tconv	GPSM3	0.57	67.6	0
0	Immune cells	CD4Tconv	CD4Tconv	TTC39C	0.57	46.0	0
0	Immune cells	CD4Tconv	CD4Tconv	MBP	0.57	48.9	0
0	Immune cells	CD4Tconv	CD4Tconv	EEF1A1	0.57	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	PTGER4	0.56	41.2	0
0	Immune cells	CD4Tconv	CD4Tconv	ITM2A	0.56	62.8	0
0	Immune cells	CD4Tconv	CD4Tconv	STAT4	0.56	44.2	0
0	Immune cells	CD4Tconv	CD4Tconv	GPRIN3	0.56	44.5	0
0	Immune cells	CD4Tconv	CD4Tconv	DUSP4	0.56	57.4	0
0	Immune cells	CD4Tconv	CD4Tconv	GIMAP4	0.56	38.2	0
0	Immune cells	CD4Tconv	CD4Tconv	GK	0.56	36.3	0
0	Immune cells	CD4Tconv	CD4Tconv	HLA-A	0.56	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	TCF7	0.56	25.7	0
0	Immune cells	CD4Tconv	CD4Tconv	FAM46C	0.56	52.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS3	0.56	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL39	0.56	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	GLTSCR2	0.56	84.3	0
0	Immune cells	CD4Tconv	CD4Tconv	PABPC1	0.56	97.7	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS12	0.55	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL21	0.55	99.5	0
0	Immune cells	CD4Tconv	CD4Tconv	STK17A	0.55	69.5	0
0	Immune cells	CD4Tconv	CD4Tconv	CORO1A	0.55	89.0	0
0	Immune cells	CD4Tconv	CD4Tconv	TNFRSF25	0.54	34.4	0
0	Immune cells	CD4Tconv	CD4Tconv	FAS	0.54	44.6	0
0	Immune cells	CD4Tconv	CD4Tconv	SATB1	0.54	35.8	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL32	0.54	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	ICAM3	0.54	59.4	0
0	Immune cells	CD4Tconv	CD4Tconv	SMCHD1	0.54	57.8	0
0	Immune cells	CD4Tconv	CD4Tconv	PIM2	0.54	51.7	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL28	0.54	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS14	0.54	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	FLT3LG	0.54	39.1	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL30	0.53	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	CORO1B	0.53	57.7	0
0	Immune cells	CD4Tconv	CD4Tconv	CACYBP	0.53	74.9	0
0	Immune cells	CD4Tconv	CD4Tconv	UBE2B	0.53	81.8	0
0	Immune cells	CD4Tconv	CD4Tconv	CCR4	0.53	23.6	0
0	Immune cells	CD4Tconv	CD4Tconv	TPT1	0.53	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	SYTL3	0.52	49.2	0
0	Immune cells	CD4Tconv	CD4Tconv	EMB	0.52	45.8	0
0	Immune cells	CD4Tconv	CD4Tconv	DOK2	0.52	51.4	0
0	Immune cells	CD4Tconv	CD4Tconv	HLA-E	0.52	99.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL13	0.52	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL3	0.52	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	CD27	0.52	46.6	0
0	Immune cells	CD4Tconv	CD4Tconv	CD44	0.51	88.0	0
0	Immune cells	CD4Tconv	CD4Tconv	SOD1	0.51	90.6	0
0	Immune cells	CD4Tconv	CD4Tconv	APBB1IP	0.51	52.9	0
0	Immune cells	CD4Tconv	CD4Tconv	TMSB4X	0.51	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RARRES3	0.51	69.2	0
0	Immune cells	CD4Tconv	CD4Tconv	SELPLG	0.5	42.4	0
0	Immune cells	CD4Tconv	CD4Tconv	ADGRE5	0.5	55.8	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL14	0.5	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS27A	0.5	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	AC090498.1	0.5	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	AIM1	0.5	32.0	0
0	Immune cells	CD4Tconv	CD4Tconv	G3BP2	0.5	64.4	0
0	Immune cells	CD4Tconv	CD4Tconv	CCNH	0.49	45.8	0
0	Immune cells	CD4Tconv	CD4Tconv	PRKCH	0.49	45.5	0
0	Immune cells	CD4Tconv	CD4Tconv	HCLS1	0.49	70.1	0
0	Immune cells	CD4Tconv	CD4Tconv	KLF6	0.49	89.2	0
0	Immune cells	CD4Tconv	CD4Tconv	CD37	0.49	88.2	0
0	Immune cells	CD4Tconv	CD4Tconv	FAM107B	0.49	44.9	0
0	Immune cells	CD4Tconv	CD4Tconv	SLA	0.49	40.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS21	0.49	99.4	0
0	Immune cells	CD4Tconv	CD4Tconv	CST7	0.49	56.8	0
0	Immune cells	CD4Tconv	CD4Tconv	MGAT4A	0.49	37.2	0
0	Immune cells	CD4Tconv	CD4Tconv	TMEM173	0.49	39.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS28	0.49	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	FAM129A	0.49	40.7	0
0	Immune cells	CD4Tconv	CD4Tconv	CLDND1	0.49	61.1	0
0	Immune cells	CD4Tconv	CD4Tconv	RNF125	0.48	31.6	0
0	Immune cells	CD4Tconv	CD4Tconv	DDX24	0.48	73.8	0
0	Immune cells	CD4Tconv	CD4Tconv	ZC3H12D	0.48	27.6	0
0	Immune cells	CD4Tconv	CD4Tconv	ARHGAP15	0.48	43.3	0
0	Immune cells	CD4Tconv	CD4Tconv	RPLP2	0.48	99.8	0
0	Immune cells	CD4Tconv	CD4Tconv	CD96	0.48	48.3	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL11	0.48	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	PDE4B	0.48	57.6	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS6	0.48	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	HNRNPLL	0.48	44.2	0
0	Immune cells	CD4Tconv	CD4Tconv	ETS1	0.48	47.8	0
0	Immune cells	CD4Tconv	CD4Tconv	SAMSN1	0.48	70.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL10	0.47	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS3A	0.47	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	SYNE2	0.47	53.0	0
0	Immune cells	CD4Tconv	CD4Tconv	DDIT4	0.47	70.3	0
0	Immune cells	CD4Tconv	CD4Tconv	SEPT9	0.47	61.2	0
0	Immune cells	CD4Tconv	CD4Tconv	MYADM	0.47	56.8	0
0	Immune cells	CD4Tconv	CD4Tconv	RPSA	0.47	99.4	0
0	Immune cells	CD4Tconv	CD4Tconv	HSPH1	0.47	78.2	0
0	Immune cells	CD4Tconv	CD4Tconv	GATA3	0.47	38.1	0
0	Immune cells	CD4Tconv	CD4Tconv	ARHGEF1	0.47	54.4	0
0	Immune cells	CD4Tconv	CD4Tconv	EPB41	0.46	32.4	0
0	Immune cells	CD4Tconv	CD4Tconv	LAPTM5	0.46	92.6	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS4X	0.46	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL9	0.46	99.6	0
0	Immune cells	CD4Tconv	CD4Tconv	RHBDD2	0.46	55.7	0
0	Immune cells	CD4Tconv	CD4Tconv	CLEC2D	0.46	48.8	0
0	Immune cells	CD4Tconv	CD4Tconv	B2M	0.45	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	TSPYL2	0.45	44.2	0
0	Immune cells	CD4Tconv	CD4Tconv	EEF1B2	0.45	96.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RHOG	0.45	68.5	0
0	Immune cells	CD4Tconv	CD4Tconv	CTLA4	0.45	36.0	0
0	Immune cells	CD4Tconv	CD4Tconv	SELK	0.45	81.5	0
0	Immune cells	CD4Tconv	CD4Tconv	CD4	0.45	34.0	0
0	Immune cells	CD4Tconv	CD4Tconv	JAK3	0.45	38.2	0
0	Immune cells	CD4Tconv	CD4Tconv	PER1	0.45	41.8	0
0	Immune cells	CD4Tconv	CD4Tconv	FAU	0.44	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	FKBP5	0.44	33.8	0
0	Immune cells	CD4Tconv	CD4Tconv	BCAS2	0.44	58.5	0
0	Immune cells	CD4Tconv	CD4Tconv	GYPC	0.44	64.4	0
0	Immune cells	CD4Tconv	CD4Tconv	HLA-B	0.44	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	MCL1	0.44	84.9	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL19	0.44	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL36AL	0.44	96.4	0
0	Immune cells	CD4Tconv	CD4Tconv	ELOVL5	0.44	59.0	0
0	Immune cells	CD4Tconv	CD4Tconv	SMAP2	0.44	40.5	0
0	Immune cells	CD4Tconv	CD4Tconv	NFATC2	0.44	40.7	0
0	Immune cells	CD4Tconv	CD4Tconv	RHOF	0.43	47.7	0
0	Immune cells	CD4Tconv	CD4Tconv	EEF1D	0.43	98.9	0
0	Immune cells	CD4Tconv	CD4Tconv	SOCS1	0.43	47.3	0
0	Immune cells	CD4Tconv	CD4Tconv	RNF149	0.43	61.6	0
0	Immune cells	CD4Tconv	CD4Tconv	ARID4B	0.43	61.3	0
0	Immune cells	CD4Tconv	CD4Tconv	PDE3B	0.43	34.1	0
0	Immune cells	CD4Tconv	CD4Tconv	SF1	0.43	74.3	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL23A	0.43	99.8	0
0	Immune cells	CD4Tconv	CD4Tconv	EVI2B	0.43	38.4	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL17	0.43	99.8	0
0	Immune cells	CD4Tconv	CD4Tconv	ZC3HAV1	0.43	54.7	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS10	0.43	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	LIME1	0.43	29.4	0
0	Immune cells	CD4Tconv	CD4Tconv	GLIPR1	0.43	50.2	0
0	Immune cells	CD4Tconv	CD4Tconv	MBNL1	0.43	69.5	0
0	Immune cells	CD4Tconv	CD4Tconv	ARL4C	0.43	49.3	0
0	Immune cells	CD4Tconv	CD4Tconv	SRSF7	0.43	84.4	0
0	Immune cells	CD4Tconv	CD4Tconv	EPC1	0.42	64.3	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS16	0.42	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	ITGA4	0.42	39.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RGS1	0.42	66.7	0
0	Immune cells	CD4Tconv	CD4Tconv	TNFRSF1B	0.42	57.0	0
0	Immune cells	CD4Tconv	CD4Tconv	ARID5B	0.42	64.9	0
0	Immune cells	CD4Tconv	CD4Tconv	DNAJA1	0.42	89.9	0
