"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"G00015","(GlcNAc)4 (Man)3 (Asn)1","METPA1482",NA,NA,"G00015",NA,NA,"1"
"CC0002","Pyrimidine","HMDB0003361","NA","NA","NA","NA","NA","0"
"C00262","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"G00008","(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1","METPA1476",NA,NA,"G00008",NA,NA,"1"
"C03021","Protein asparagine","METPA0349",NA,NA,"C03021",NA,NA,"1"
"C00559","Deoxyadenosine","HMDB0000101","13730","17256","C00559","3382","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1","1"
"C00458","dCTP","HMDB0000998","65091","16311","C00458","5929","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1","1"
"C00128","Cytidine 5'-monophosphate-N-acetylneuraminic acid","HMDB0001176","448209","16556","C00128","6057","[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"C02218","2-Aminoacrylic acid","HMDB0003609","123991","17123","C02218",NA,"NC(=C)C(O)=O","1"
"G13088","(Gal)1 (GlcA)1 (GlcNAc)1 (Man)1 (S)1 (Ser/Thr)1",NA,NA,NA,"G13088",NA,NA,"1"
"C00182","Glycogen","HMDB0000757","439177","28087","C00182","160","OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00167","Uridine diphosphate glucuronic acid","HMDB0000935","17473","17200","C00167","5884","O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O","1"
"C00100","Propionyl-CoA","HMDB0001275","92753","15539","C00100","6130","CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"G00019","(GlcNAc)5 (Man)3 (Asn)1","METPA1486",NA,NA,"G00019",NA,NA,"1"
"C00158","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"C00705","dCDP","HMDB0001245","150855","28846","C00705","6105","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1","1"
"C00401","Chondroitin","HMDB0000629","14389182","16137","C00401","5602","[H]O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)[C@H]1NC(C)=O","1"
"C00750","Spermine","HMDB0001256","1103","15746","C00750","255","NCCCNCCCCNCCCN","1"
"C00025","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"C00105","Uridine 5'-monophosphate","HMDB0000288","6030","16695","C00105",NA,"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"C00187","Cholesterol","HMDB0000067","5997","16113","C00187","163","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"C00036","Oxalacetic acid","HMDB0000223","970","30744","C00036","123","OC(=O)CC(=O)C(O)=O","1"
"G00157","(Gal)2 (GlcA)1 (Xyl)1 (Ser)1","METPA1591",NA,NA,"G00157",NA,NA,"1"
"C00334","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"G13085","(Gal)1 (GlcNAc)1 (Man)1 (Neu5Ac)1 (Ser/Thr)1",NA,NA,NA,"G13085",NA,NA,"1"
"C00049","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"C00106","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"C00475","Cytidine","HMDB0000089","6175","17562","C00475","3376","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"C00526","Deoxyuridine","HMDB0000012","13712","16450","C00526","5086","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"C01490","Dermatan","HMDB0000632",NA,NA,"C01490",NA,NA,"1"
"C00364","5-Thymidylic acid","HMDB0001227","9700","17013","C00364","6092","CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O","1"
"C00118","Glyceraldehyde 3-phosphate","HMDB0001112","439168","29052","C00118","3294","O[C@H](COP(O)(O)=O)C=O","1"
"C03090","5-Phosphoribosylamine","HMDB0001128","439905","37737","C03090","6023","N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"C00399","Ubiquinone-1","HMDB0002012","4462","46234","C00399","6435","COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O","1"
"C00022","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(O)=O","1"
