"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB0000008","2-Hydroxybutyric acid","HMDB0000008","440864","50613","C05984","3783","CC[C@H](O)C(O)=O","1"
"HMDB0000010","2-Methoxyestrone","HMDB0000010","440624","1189","C05299","2578","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3","1"
"HMDB0000011","3-Hydroxybutyric acid","HMDB0000011","441","17066","C01089",NA,"C[C@@H](O)CC(O)=O","1"
"HMDB0000012","Deoxyuridine","HMDB0000012","13712","16450","C00526","5086","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"HMDB0000014","Deoxycytidine","HMDB0000014","13711","15698","C00881","3367","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"HMDB0000015","Cortexolone","HMDB0000015","440707","28324","C05488","5088","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"HMDB0000016","Deoxycorticosterone","HMDB0000016","6166","16973","C03205","5089","[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"HMDB0000017","4-Pyridoxic acid","HMDB0000017","6723","17405","C00847","239","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"HMDB0000019","alpha-Ketoisovaleric acid","HMDB0000019","49","16530","C00141","5091","CC(C)C(=O)C(O)=O","1"
"HMDB0000020","p-Hydroxyphenylacetic acid","HMDB0000020","127","18101","C00642","130","OC(=O)CC1=CC=C(O)C=C1","1"
"HMDB0000030","Biotin","HMDB0000030","171548","15956","C00120","243","[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2","1"
"HMDB0000031","Androsterone","HMDB0000031","5879","16032","C00523","2797","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C","1"
"HMDB0000032","7-Dehydrocholesterol","HMDB0000032","439423","17759","C01164","5101","[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"HMDB0000034","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"HMDB0000036","Taurocholic acid","HMDB0000036","6675","28865","C05122","5104","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","1"
"HMDB0000037","Aldosterone","HMDB0000037","5839","27584","C01780","418","[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O","1"
"HMDB0000039","Butyric acid","HMDB0000039","264","30772","C00246","107","CCCC(O)=O","1"
