ligand	receptor
Lgals9	Ptprc
Lgals9	Met
Lgals9	Cd44
Lgals9	Lrp1
Lgals9	Cd47
Lgals9	Ptprk
Lgals9	Colec12
Lgals9	Havcr2
Lgals9	Mrc2
Dll1	Notch1
Dll1	Notch2
Dll1	Notch4
Dll1	Notch3
Podxl	Sell
Nrg2	Erbb2_Erbb3
Nrg2	Erbb2_Erbb4
Adgrb1	Rtn4r
Adam10	Tspan15
Adam10	Tspan12
Adam10	Met
Adam10	Il6ra
Adam10	Cd44
Adam10	Epha3
Adam10	Axl
Adam10	Notch1
Adam10	Notch2
Adam10	Nrcam
Adam10	Tspan17
Adam10	Tspan10
Adam10	Trem2
Tnfsf11	Tnfrsf11b
Tnfsf11	Lgr4
Tnfsf11	Tnfrsf11a
Ereg	Egfr_Erbb2
Ereg	Erbb2_Erbb4
Ereg	Erbb3
Adam12	Itgb1
Adam12	Itga9
Tnfsf12	Tnfrsf8
Tnfsf12	Cd163
Tnfsf12	Tnfrsf25
Tnfsf12	Tnfrsf12a
Tnfsf14	Ltbr
Tnfsf14	Tnfrsf14
Adam23	Itgb3
Adam23	Itga5
Adam23	Itga4
Adam11	Itga4
Icosl	Cd28
Icosl	Ctla4
Icosl	Icos
Sema7a	Itga1_Itgb1
Sema7a	Plxnc1
Tnfsf13	Tnfrsf11b
Tnfsf13	Tnfrsf13b
Tnfsf13	Tnfrsf1a
Tnfsf13	Fas
Tnfsf13	Sdc2
Tnfsf13	Tnfrsf17
Tnfsf13	Tnfrsf14
Nfasc	Cntn1_Cntnap1
Slitrk3	Ptprd
Slitrk3	Ptprs
Slitrk5	Ptprd
Tnfsf15	Tnfrsf25
Tgfa	Egfr_Erbb2
Tgfa	Erbb3
Tgfa	Erbb4
Tnf	Ffar2
Tnf	Tnfrsf21
Tnf	Tnfrsf1a
Tnf	Tnfrsf1b
Tnf	Fas
Tnf	Flt4
Tnf	Notch1
Tnf	Ptprs
Tnf	Sema4c
Tnf	Vsir
Tnf	Celsr2
Tnf	Icos
H2-Ea	Cd4
H2-Ea	Lag3
H2-Aa	Cd4
H2-Aa	Lag3
H2-Aa	Cd4
H2-Aa	Lag3
H2-Ab1	Cd4
H2-Ab1	Lag3
